g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.018,1,4,0.0225272178649902,0.0234331977547077,0.0046491439486483,-0.0031379797312018,-0.0357418448753051,-0.0614510908560456,-0.1143618223604469,-0.6079516117594136,-inf
0.019,1,4,0.0224864482879638,0.0239217610558469,0.0071430219181475,-0.0043036454655509,-0.0398092655129572,-0.0652963141386378,-0.1358111290419935,-0.6137655456891189,-inf
0.02,1,4,0.0224277973175048,0.0277106757295695,0.0073166798186693,-0.0048129699359932,-0.0345226417369884,-0.0515077567914487,-0.1130939013007199,-0.658505622599517,-inf
0.021,1,4,0.0384232997894287,0.0292201708123951,0.0156904028228312,-0.0056324761087491,-0.0326523750126771,-0.0582747121460309,-0.1094745188390393,-0.5254352700803565,-inf
0.022,1,4,0.0380144119262695,0.0271450285118499,0.0174637286372883,0.0027447230224531,-0.0346775693585806,-0.0534939926895795,-0.1029516896924203,-0.5739559317035875,-inf
0.023,1,4,0.022742748260498,0.0295899522380427,0.018798871647588,-0.0016157043493171,-0.0330183370279817,-0.0532595855700889,-0.1018433631425028,-0.4818299051513494,-inf
0.024,1,4,0.0389027595520019,0.0343890328974162,0.0157224815010722,0.0003582373160436,-0.0375521622969469,-0.0492517977449557,-0.0981330691650152,-0.4535815191304819,-inf
0.025,1,4,0.037311315536499,0.0320022443803597,0.0213616008473191,-0.0016664195273289,-0.0302103881088284,-0.0499272423286612,-0.0948612734490753,-0.5807618811153127,-inf
0.026,1,4,0.0377845764160156,0.03496560971612,0.0157567462595695,-0.0026467489815943,-0.0307770530187875,-0.0427676041328672,-0.0903086500754014,-0.4734436243273904,-inf
0.027,1,4,0.0386254787445068,0.0388531822614995,0.0150644233941159,0.0065770513810314,-0.0307658142828724,-0.0469815264540403,-0.1085053002822324,-inf,-inf
0.028,1,4,0.0385060310363769,0.0392010156631854,0.0224277882410823,-0.0094616452245959,-0.0270678276774965,-0.0475650974476035,-0.0924503862081938,-0.584841295150589,-inf
0.029,1,4,0.0376632213592529,0.0414107130661355,0.022747791152034,-0.0008545970986867,-0.0311938211951967,-0.0398897404947073,-0.1257360473265091,-0.6005078068055034,-inf
0.03,1,4,0.0224006175994873,0.0425645532958041,0.024122793439296,-0.0028570637728305,-0.0264501451845009,-0.0443284001803043,-0.0878839373487273,-0.5879435068721659,-inf
0.031,1,4,0.0232758522033691,0.04590624832786,0.0241430395967919,-0.0041268863762645,-0.0242136400660215,-0.0387462463717197,-0.0965027941528743,-0.5932002091089048,-inf
0.032,1,4,0.0383472442626953,0.045335450911701,0.027507395626276,0.0029127413414621,-0.027588156839633,-0.0436692777778566,-0.0778141853370589,-0.4856093528877984,-inf
0.033,1,4,0.0378429889678955,0.0494210656620144,0.0222273450911549,-0.003492573475116,-0.0240918984306635,-0.0403922913843323,-0.0824388905363044,-0.5058106614273458,-inf
0.034,1,4,0.0228567123413085,0.0452882453274499,0.0305680606884885,-0.0009747934141745,-0.0297943328895022,-0.0368339956664497,-0.1075753978371334,-0.6042321781470583,-inf
0.035,1,4,0.0232443809509277,0.0511408706439153,0.029208298178825,0.0033641826798659,-0.024783072943835,-0.0349191574684865,-0.1024493359980547,-0.4932982528499088,-inf
