g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.026,1,4,0.0393033027648925,-0.0046715838980171,-0.0050848346509617,-0.0216704512623191,-0.0395684461157727,-0.0479078963402591,-0.4765850671780983,-2.897518675955881,-inf
0.027,1,4,0.0385074615478515,0.0027707413232323,-1.6724617496277684e-05,-0.0189710828314567,-0.0353469460060984,-0.0417191188033884,-0.4481738329353787,-3.0540213239940064,-inf
0.028,1,4,0.0385010242462158,-0.0096111555336112,-0.0175020966785023,-0.0268083463987811,-0.0350558324361232,-0.0430780983248469,-0.624309259279006,-3.038397418480228,-inf
0.029,1,4,0.0388040542602539,0.0079053280129855,-0.0079245065528572,-0.0354347017122596,-0.0775318346167021,-0.0840787132892464,-2.6443163095283198,-3.163986826528498,-inf
0.03,1,4,0.0235180854797363,0.0224399242257091,0.0124118115672649,-0.0169275468179395,-0.0387806510845828,-0.0421605747204975,-2.6932902221597077,-3.0992707115789435,-inf
0.031,1,4,0.0233736038208007,0.0131299104481481,0.0015382817719816,-0.0254111531619927,-0.0428782155273275,-0.0560268718633342,-0.4650846950845722,-1.8136272938509583,-inf
0.032,1,4,0.0383121967315673,0.0149522327713228,-8.204607804864233e-05,-0.022348413827074,-0.0507371754443896,-0.0562810465592729,-0.6462496651447119,-2.7658906664810945,-inf
0.033,1,4,0.0383470058441162,0.0171691386056182,0.0080703716512882,-0.0177520106222222,-0.0434236029350832,-0.0531568387490593,-0.4025271034174674,-3.072243569949455,-inf
0.034,1,4,0.0234086513519287,0.0148564229298234,0.011863882423719,-0.0181362908650073,-0.0399823635226375,-0.0474688304779804,-0.2699793668154497,-1.3603405133100814,-inf
0.035,1,4,0.0237538814544677,0.0233508589078027,0.0065173718951888,-0.0251484039946731,-0.0414168660583665,-0.0508309792639462,-0.4730247791761672,-2.375142966019017,-inf
0.036,1,4,0.0384278297424316,0.0231137599544631,0.018156336754344,-0.0189144473965057,-0.0326875603572229,-0.0478746455054135,-0.2388436224609711,-inf,-inf
0.037,1,4,0.0235874652862548,0.0226904643460976,0.0170477482930276,-0.023793457948492,-0.0401276786714174,-0.0538135287969415,-0.4906524394100428,-2.0952109968885013,-inf
0.038,1,4,0.0234191417694091,0.0263501924204477,0.0152436698078277,-0.0200506203946178,-0.0383321814926052,-0.0531430664710353,-0.3483062748182119,-2.400702392384884,-inf
0.039,1,4,0.0431292057037353,0.0140933478119923,0.0056796525291085,-0.0239198539454509,-0.040194857188248,-0.0500908883946688,-0.6576916987464035,-2.9512329283466183,-inf
0.04,1,4,0.0384774208068847,0.031106144797489,0.0289668961838488,-0.0181268221413619,-0.0382320580316437,-0.0522728835329233,-0.2633974928928559,-inf,-inf
0.041,1,4,0.0385677814483642,0.0259366623036062,-0.0011870810149765,-0.0308774653973433,-0.050710910281049,-0.0617373936666864,-1.6871469511492838,-inf,-inf
0.042,1,4,0.0231657028198242,0.0465808626651963,0.0229827945591178,-0.0214464488410024,-0.0358150174899301,-0.0365835200181697,-2.2414118425651552,-3.0408945556578995,-inf
0.043,1,4,0.0389213562011718,0.0352563505073057,0.0280693689189538,-0.0187523448784164,-0.0324335167286426,-0.0440611145313926,-0.3025133653062845,-1.2854718464324637,-inf
0.044,1,4,0.0232689380645751,0.0426117407476909,0.0191694756532639,-0.0233798172232908,-0.0319613136968991,-0.0389124551647729,-1.203648343437536,-3.156110447707533,-inf
0.045,1,4,0.0232019424438476,0.0352369858286256,0.0082757219425129,-0.0267474781511964,-0.0382868764103498,-0.0410956263806482,-2.204914723703514,-3.14798443147086,-inf
0.046,1,4,0.0234215259552001,0.0399980695499863,0.0276361414991549,-0.0163216007243355,-0.0296957573684917,-0.0348029037061753,-1.1333705466658135,-2.215565937148513,-inf
0.047,1,4,0.0415260791778564,0.0495220805578666,0.009023674131733,-0.0355889582044144,-0.0366646205443497,-0.0533124758603687,-2.21818471029129,-3.0400379871459333,-inf
0.048,1,4,0.0388455390930175,0.0403367128660998,0.0170287658823149,-0.0317694812063832,-0.0331728969614764,-0.0797928793793063,-1.3958245819462216,-inf,-inf
0.049,1,4,0.0235238075256347,0.0461775905152601,0.0239608402772742,-0.0149943023608351,-0.0391093515778552,-0.0456740021161197,-0.4627171913356817,-3.087811734413583,-inf
0.05,1,4,0.0231380462646484,0.0484126058623612,0.0354646656164741,-0.0248089584668821,-0.0257758603532633,-0.0458216652025289,-0.726896679652431,-2.08418156243104,-inf
0.051,1,4,0.0385081768035888,0.0471151990922981,0.0288228437121904,-0.0191404682693262,-0.0297950016105605,-0.0515572278654558,-0.4336296379746995,-2.1419595070006987,-inf
0.052,1,4,0.0233078002929687,0.0513657755888977,0.0275218214477183,-0.0152390890382365,-0.0288870338413694,-0.0390520917684383,-0.482081560045022,-2.1047275757195307,-inf
0.053,1,4,0.0232846736907959,0.0504217351052653,0.0256910669908452,-0.0200330736402087,-0.0280574424553725,-0.0371129426924813,-1.3762488302263962,-2.67613828314112,-inf
0.054,1,4,0.0234618186950683,0.0490662859205717,0.0339295373736465,-0.0163896689611443,-0.0320447999434075,-0.043060124542286,-0.5699646631062016,-2.4408036015505887,-inf
0.055,1,4,0.0234124660491943,0.0563097483956145,0.0407286709948489,-0.015364958699819,-0.023587804916551,-0.0409907202113921,-0.2365110271442379,-1.123392138336225,-inf
0.056,1,4,0.023618459701538,0.0539625901899433,0.0191560323640613,-0.0276527134195686,-0.030659934180345,-0.0517995157302254,-1.9072174809646023,-2.7793809716952387,-inf
0.057,1,4,0.0234088897705078,0.0576629607683742,0.0288603467734239,-0.014591360702826,-0.0270794098555072,-0.0343596796113488,-0.8321094536009861,-2.368915413835737,-inf
0.058,1,4,0.0231671333312988,0.0569417042727392,0.0132642489363851,-0.016420842927871,-0.0195391764406041,-0.0365666145398112,-1.2119431958705955,-2.224434051987319,-inf
0.059,1,4,0.0232284069061279,0.0609382089768421,0.0210281717317698,-0.0191557942254302,-0.0207809267866249,-0.0357468237854226,-1.792379839105766,-2.494312968456629,-inf
0.06,1,4,0.038572072982788,0.0725002727558564,0.0331871657947972,-0.0131016715185742,-0.0262522290444294,-0.0392791946561351,-0.4646388567280107,-2.042512313969336,-inf
0.061,1,4,0.0383887290954589,0.0725772510731969,0.0266463720676708,-0.0141462214074127,-0.0265796283327899,-0.0367379154453908,-0.6127703276527797,-inf,-inf
0.062,1,4,0.0380940437316894,0.066664714808352,0.0116649279545702,-0.0142671330678343,-0.0258675234694394,-0.0302714849403644,-1.4124349762045334,-3.1102169336475325,-inf
0.063,1,4,0.0234169960021972,0.0710705293974408,0.0210259183764838,-0.0186513408766584,-0.0200139519799223,-0.0264556387562941,-1.7925532929489325,-2.842294869201269,-inf
0.064,1,4,0.0232307910919189,0.0617603767929734,0.0175519585839639,-0.0131678546559848,-0.0244129289924601,-0.0328136498071761,-0.6151451841716383,-2.845954458527212,-inf
0.065,1,4,0.0239214897155761,0.0728104052261395,0.0206304230568561,-0.0142856452497843,-0.0354882550720345,-0.0477741306139447,-0.7541966529561007,-3.0723714788753327,-inf
0.066,1,4,0.0232858657836914,0.0597811116815004,-0.0066337366766902,-0.0236244470476283,-0.0299346502410737,-0.0378032671120805,-2.5019197944651403,-3.215409473239577,-inf
0.067,1,4,0.0244226455688476,0.0675929763263715,0.0076296941295503,-0.0149996479693214,-0.0216307925746061,-0.0353596688504033,-0.9320082854225712,-2.4960357257279937,-inf
0.068,1,4,0.0380129814147949,0.0695403287492548,0.0120472670453767,-0.0235235059344504,-0.0246898790704827,-0.0314751265448505,-1.970612005424176,-inf,-inf
0.069,1,4,0.038492202758789,0.0663228772817639,0.0057621529631857,-0.0132442473182661,-0.0227462730127358,-0.0317678336765352,-1.5249046539371385,-inf,-inf
0.07,1,4,0.0232841968536376,0.0756006804258155,0.0082837383029799,-0.0218315972466814,-0.0277209385304157,-0.0389515218417052,-1.2848795541783398,-3.017634386340441,-inf
0.071,1,4,0.0235593318939209,0.0861535058072973,0.0239147733367693,-0.0127561770569397,-0.014393640320799,-0.025179665101824,-0.5300360456421762,-2.0076692539667955,-inf
0.072,1,4,0.023439884185791,0.0930834358842083,0.004073138379296,-0.0172357899814614,-0.0274936532850879,-0.0316444638990073,-1.2847460946810132,-2.877989946101521,-inf
0.073,1,4,0.0234043598175048,0.0832637197789621,-0.0055566405706112,-0.0214578949934358,-0.025903082282316,-0.029014187643755,-2.673898056084576,-3.261203016684437,-inf
0.074,1,4,0.038381814956665,0.0814716135768906,0.0090090339453828,-0.0210712794569517,-0.0214037207970789,-0.0328131562672788,-1.8616756120272224,-inf,-inf
0.075,1,4,0.0233309268951416,0.080316330155566,0.0057167744529767,-0.0180894207141034,-0.0216952801849641,-0.0347766094520969,-1.8228245082669536,-2.983500623363949,-inf
0.076,1,4,0.0236670970916748,0.0840931272370235,0.0185624219898928,-0.0110782559509991,-0.0188232345396684,-0.0319639160548382,-0.5052919784394938,-1.826978684310844,-inf
