g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.01,2,4,0.2427055835723877,-0.0282193827611429,-0.0291082865863102,-0.0346702861099543,-0.0358491749844056,-0.0365687631379312,-0.043676390303287,-0.0468819009828524,-0.0489921522683344,-0.0504465369367435,-0.0505926026489542,-0.0527159732049743,-0.0530513718152351,-0.0549288530351132,-0.0623672891367233,-0.0766111093056457,-0.0772756369425249,-0.0798883098428021,-0.0930598192043828,-0.0943779528843207,-0.1018461043907518,-0.1413070851307997,-0.1449556349082483,-0.1746258135532624,-0.216131184763696,-0.2429678935417353,-0.3689683313230013,-0.6142781914147739,-1.0653720474920445,-2.7861442122852296,-8.094698406138846,-12.767750004163982,-inf
0.011,2,4,0.2319114208221435,-0.0286155098745214,-0.0333953291979618,-0.0351986033234708,-0.0352908683512873,-0.0364651707352898,-0.0366034319621147,-0.0405293327427632,-0.0506314815919893,-0.0521587336478193,-0.0544562367610997,-0.0549184264565804,-0.055541654887937,-0.0587091493295432,-0.0743545911175129,-0.0790472092102339,-0.0799473310623206,-0.0839205555545922,-0.0877894242986266,-0.0905536360319895,-0.0956327443705919,-0.0978944924373587,-0.2926833115529205,-0.4186205296265515,-0.4455033709125043,-0.4554331813099072,-0.5920103241140621,-0.7210316857176736,-1.2925947338895107,-1.768930503197961,-5.389214872112256,-15.1729797755331,-inf
0.012,2,4,0.2401230335235595,-0.0270912113528772,-0.0277679699845375,-0.0304329400376564,-0.0329305300862274,-0.0341789993591497,-0.0343217037793857,-0.0380340280011254,-0.0457985873187166,-0.0500592500468699,-0.0518742665382961,-0.0522988675418789,-0.0543877372616977,-0.058205126899677,-0.062447805409577,-0.0669110058745083,-0.0746021265909051,-0.0767197602025389,-0.0785811445410843,-0.0792381784062139,-0.0817625372460736,-0.0833875095479755,-0.1400079720527906,-0.1434066328777205,-0.3614278536829904,-0.4588539384202917,-0.5310586974126568,-0.5485621823195568,-1.3185990479502712,-2.349625611663968,-6.045067619218466,-11.795260747231572,-inf
0.013,2,4,0.231158971786499,-0.0217086772378823,-0.0219892422281135,-0.0271507015234605,-0.0319423812049037,-0.0327871518263987,-0.0342659941529442,-0.0370224569713137,-0.0482150317536413,-0.0512227239036892,-0.0535921988196367,-0.0553217196262942,-0.0556631144480817,-0.0571110899006033,-0.0640800531106749,-0.0675243099885807,-0.0697153493842555,-0.0729221724464663,-0.0730268024735314,-0.0739728801705458,-0.0768377615019433,-0.0818283808002548,-0.3115086897692452,-0.3417926045399098,-0.442543404447728,-0.445682296952627,-0.5075181264652253,-1.1084158400140816,-2.1091522340861744,-2.963727836510325,-5.656806568994784,-10.492433892334024,-inf
0.014,2,4,0.1458637714385986,-0.0195757654498978,-0.0201583839709092,-0.0272181371024101,-0.0301739844475105,-0.032690535574534,-0.0331237774728842,-0.0378672894387731,-0.045359594619215,-0.0498676550635892,-0.0522005952621346,-0.0554246993548021,-0.0558735515646453,-0.0571734909010815,-0.0577140329808669,-0.0645704673333905,-0.0655527522010562,-0.068896176314782,-0.0744070261123219,-0.0763377232444759,-0.0813217607454845,-0.0845512684731028,-0.243024029334509,-0.3945172664957876,-0.4600933872839189,-0.4684250245121709,-0.5597949297168835,-0.577800909754057,-0.9819579243402402,-2.2498639765954045,-5.20561179513117,-10.100973519835495,-inf
0.015,2,4,0.2342913150787353,-0.0185957482441705,-0.0193363569356054,-0.0246959773071296,-0.0295607421740719,-0.0302242029025214,-0.0327879020568421,-0.0393931444523371,-0.0448538261198652,-0.0468517137732241,-0.0470647124686716,-0.0471205736861835,-0.0481516318458646,-0.0488987000217611,-0.049624919105357,-0.0516756412696629,-0.0538951952409424,-0.058154227761666,-0.0657414436793339,-0.0687493148522863,-0.0863899638722569,-0.0905112897898211,-0.1220706663542215,-0.1235745507534606,-0.1604069624400641,-0.1750043758557178,-0.532922492891805,-0.6587843265874368,-1.3984321425959922,-2.556954917672987,-4.5217114689571005,-11.878751519668826,-inf
0.016,2,4,0.2377011775970459,-0.0100039898611605,-0.0100789204765615,-0.0258231823130478,-0.0277763019360287,-0.0307287737986032,-0.0313473035545338,-0.0379828648284241,-0.0439192280923412,-0.0507092044210824,-0.05206572638458,-0.0526262071665896,-0.0526517859917366,-0.0532955580266401,-0.0540450757085635,-0.0562955067010454,-0.0568489622651182,-0.0602812885108715,-0.0624824057378122,-0.0633892353045849,-0.0763782132896621,-0.0807871122683391,-0.2553917438537879,-0.4073178207866317,-0.4645416671386547,-0.5747593216255363,-0.5851369465725191,-0.7766490490641134,-1.0776871246869386,-2.213247651744588,-6.510064838320055,-12.81621148060788,-inf
0.017,2,4,0.2365696430206298,-0.0184938439759465,-0.0202896878233432,-0.0231580100817429,-0.0232670011662571,-0.0253503506069726,-0.0296819348197482,-0.0325465632225981,-0.0330776424399017,-0.03670558880298,-0.0378567243879241,-0.0383403964428682,-0.0411495567933275,-0.0432428834003837,-0.0526920337310701,-0.060784046146101,-0.0687357463945227,-0.0770268239234136,-0.0819172075998568,-0.0990149596426087,-0.1100661976412728,-0.1363101877648231,-0.3264280829457615,-0.3529797888939749,-0.4044057866023661,-0.4854347391813989,-0.5305264314660469,-0.6734976746298423,-1.2680890529170326,-2.1608331267135688,-5.2307225583666686,-13.085883983664532,-inf
0.018,2,4,0.1439383029937744,-0.0096744908022084,-0.0108431678682815,-0.0243044559987306,-0.0274980554160083,-0.0293121391871065,-0.0297516386858277,-0.0344206323886794,-0.0404706735105258,-0.0442502631384943,-0.0446988233126509,-0.045019134533803,-0.0455368519422758,-0.0470266013650199,-0.0502132717000615,-0.0524481397345502,-0.053214731792178,-0.0589469871149918,-0.0592611006843103,-0.0663000886541657,-0.074177676364901,-0.07889130560807,-0.1197620681207307,-0.1321012086967649,-0.2423139206803835,-0.3781061359632616,-0.4542028014291694,-0.5269428093515733,-1.023195394484118,-2.167326646551696,-6.924782881021024,-11.862030111488714,-inf
0.019,2,4,0.1457819938659668,0.0043454392595783,0.0034990569611498,-0.0247727669062384,-0.025293251010955,-0.0287234994889671,-0.0290550374295002,-0.0329842755272653,-0.0389402121525065,-0.0425637446923771,-0.0435560182366666,-0.0440632785466995,-0.0449224454864763,-0.0470658711755336,-0.0489841165781516,-0.0524925215001079,-0.0528810198184164,-0.053730706823973,-0.0556759307656728,-0.0598244856907094,-0.0604539858536142,-0.0697438803707037,-0.2675943150262456,-0.346686920084952,-0.4075438049001891,-0.5190353445127147,-0.6509028231313229,-0.8956176346748177,-1.9114796623019088,-3.591644359895503,-6.265828073105871,-10.783918932935654,-inf
0.02,2,4,0.1440191268920898,-0.0158329539831171,-0.0169181592207458,-0.0211210338525034,-0.0214370509269327,-0.0220092398854235,-0.0226283071493428,-0.0258317931098177,-0.0326703068575206,-0.0332079684899692,-0.0350357017616182,-0.0351549374430179,-0.0367736025372522,-0.0404464140068129,-0.0607745992565138,-0.0676404702886052,-0.0680043830798392,-0.0713816402567469,-0.0724461727728748,-0.080504227929962,-0.0831878380566571,-0.0889637168675407,-0.3384931540475168,-0.4087288956132422,-0.4696000304464989,-0.5429702400461508,-0.7402026561436967,-2.5385953086465904,-3.353974170328661,-5.301165301389011,-6.563144521651982,-9.329353342617043,-inf
0.021,2,4,0.2447967529296875,-0.0137705203788234,-0.014570243956962,-0.0219362547446496,-0.0223535444363854,-0.024165734895422,-0.0271910169475953,-0.0303170393548874,-0.032159815471023,-0.0349082489988722,-0.0358573271440856,-0.0365590699681827,-0.0367874572731406,-0.0381300269329988,-0.0560715501880781,-0.0622668322136992,-0.0659434282333418,-0.0673112846863189,-0.0703250932388264,-0.0755025702489126,-0.0967153828323401,-0.1078071750803193,-0.2695194684183669,-0.336095086962821,-0.4001282676035667,-0.4930883198761787,-0.5374398367218758,-0.6147386722313305,-1.428077782970966,-2.3705739522138174,-5.578197490589516,-14.378348195566774,-inf
0.022,2,4,0.2355725765228271,-0.0076883362863958,-0.0085949607589591,-0.0194579838933412,-0.0206336644679501,-0.0216515662077502,-0.0223726571332907,-0.0269121093978511,-0.031451998378424,-0.0326203836583139,-0.0345808696189432,-0.0350785773815006,-0.0355645559843716,-0.0399168389428819,-0.0507085761489845,-0.0577785901640146,-0.0583583227709761,-0.062302299104422,-0.0628797716673296,-0.0687558433503589,-0.0731929498100823,-0.082791917065223,-0.2565894582170547,-0.3128076731885609,-0.4113183700269199,-0.4526403246758862,-0.6209721173164885,-0.7489216022849644,-1.3044885697473014,-3.7059623991153496,-6.354738366945483,-11.795283762844926,-inf
0.023,2,4,0.1464598178863525,-0.0018834015013065,-0.0043128483136175,-0.0194525319704395,-0.020722710545307,-0.0218725213358382,-0.0230423473641413,-0.0258178614497788,-0.0297944926009253,-0.0331793687095373,-0.0339828821124311,-0.0346716414416864,-0.0367941040024018,-0.0368498914446304,-0.0488996630439331,-0.0556986931449826,-0.0578156582281808,-0.0616611234389917,-0.0631674798678844,-0.0669661620927662,-0.0745458849660061,-0.0803296079481249,-0.2641045251942671,-0.3423700089742896,-0.4030201119552316,-0.4805776741493621,-0.5316298825857091,-0.7059232931589356,-1.617933812539022,-2.679366346054435,-5.964830620280551,-12.738188567260346,-inf
0.024,2,4,0.2365574836730957,-0.0057757006989931,-0.0075960302433176,-0.0186946193058835,-0.0191141689927146,-0.0196801599614959,-0.0197549380542614,-0.0237215060618134,-0.0289007597461398,-0.0321772159214812,-0.0322112021359836,-0.034484871416989,-0.034674523753086,-0.0377371065912738,-0.0518437881236626,-0.0558468301549805,-0.0568010837838844,-0.0620521247058233,-0.0625908181563704,-0.066644229082863,-0.0732843174685604,-0.0817697317070583,-0.2972618146699003,-0.3775086828252493,-0.4072828825562499,-0.4345991613443612,-0.5291761673527784,-0.5949459836736984,-1.57194124807516,-2.937404869380978,-6.3610258795960535,-13.818652411477917,-inf
0.025,2,4,0.2344908714294433,-3.186752882126756e-05,-0.0006396352729319,-0.017466756248196,-0.0186853105089793,-0.020324559936579,-0.0205280263733685,-0.0237248710768473,-0.0308659416664278,-0.0329881053877494,-0.0335388508876926,-0.0339242472255467,-0.0351996454696431,-0.0362145529322412,-0.0484672467484036,-0.0545816750952989,-0.0547666407675754,-0.0579658548675508,-0.0587710035231324,-0.0602962175066424,-0.0606148548820763,-0.0665602888133165,-0.3117826621659089,-0.3800870257150401,-0.4169905320356116,-0.5083086828497635,-0.7290464384007226,-0.7970636851906555,-1.3300278053715815,-2.88144553045481,-6.020537920430342,-14.057571091943812,-inf
