g_value,n,lambda_1,current_zeta_value,runtime
0.0,2,0.0710251479757838,8,0.7878458499908447
0.0002,2,0.0648356730003742,8,0.8156311511993408
0.0004,2,0.0742535439387637,8,0.7815499305725098
0.0006,2,0.0712063054080878,8,0.8156640529632568
0.0008,2,0.0709748932305143,8,0.7980093955993652
0.001,2,0.0733565925161255,8,0.798001766204834
0.0012,2,0.0692540079223251,8,0.7829451560974121
0.0014,2,0.0733586763922119,8,0.7832379341125488
0.0016,2,0.0662766505883077,8,0.7852327823638916
0.0018,2,0.0674474036541979,8,0.8056950569152832
0.002,2,0.0722942627793318,8,0.8176727294921875
0.0022,2,0.0658943368242775,8,0.8182854652404785
0.0024,2,0.0720767760201501,8,0.7887001037597656
0.0026,2,0.0738863633924111,8,0.8217942714691162
0.0028,2,0.0752341410084535,8,0.8180031776428223
0.003,2,0.0653470743678221,8,0.7908549308776855
0.0032,2,0.0661807324546591,8,0.7956783771514893
0.0034,2,0.0596028950221102,8,0.8074259757995605
0.0036,2,0.0656584655125371,8,0.8287196159362793
0.0038,2,0.0683993348031495,8,0.7840080261230469
0.004,2,0.0707568154966963,8,0.7973902225494385
0.0042,2,0.0783195939838994,8,0.7999458312988281
0.0044,2,0.0655743385812209,8,0.7814810276031494
0.0046,2,0.0644679495412955,8,0.8228788375854492
0.0048,2,0.0663047095898608,8,0.8250081539154053
0.005,2,0.0671638827947765,8,0.7794203758239746
0.0052,2,0.0617315659267432,8,0.790212869644165
0.0054,2,0.0656563349358893,8,0.8083293437957764
0.0056,2,0.0642758008424989,8,0.7812931537628174
0.0058,2,0.065653900562271,8,0.820014476776123
0.006,2,0.0657680630777504,8,0.8036541938781738
0.0062,2,0.0673678694941452,8,0.8149058818817139
0.0064,2,0.0699434828861262,8,0.7854442596435547
0.0066,2,0.0692291174366763,8,0.8159379959106445
0.0068,2,0.0641110174517111,8,0.78385329246521
0.007,2,0.0610505687093927,8,0.8548314571380615
0.0072,2,0.075171662302852,8,0.8020279407501221
0.0074,2,0.0655801591198585,8,0.7854187488555908
0.0076,2,0.0625883028973327,8,0.813427209854126
0.0078,2,0.0626208335117245,8,0.8005783557891846
0.008,2,0.0628292733753087,8,0.8167765140533447
0.0082,2,0.0694402478518464,8,0.7912712097167969
0.0084,2,0.0646595699493579,8,0.785646915435791
0.0086,2,0.0676193776509797,8,0.7898099422454834
0.0088,2,0.0660170036314553,8,0.8281733989715576
0.009,2,0.066272027190431,8,0.7899751663208008
0.0092,2,0.0652789921797418,8,0.7705545425415039
0.0094,2,0.0624838922085191,8,0.8103728294372559
0.0096,2,0.058278614523674,8,0.7826590538024902
0.0098,2,0.0677056843359803,8,0.7897703647613525
0.01,2,0.0636810136110817,8,0.7838766574859619
0.0102,2,0.0614184202830393,8,0.7827773094177246
0.0104,2,0.0661196535102211,8,0.7858316898345947
0.0106,2,0.0601786929413938,8,0.8037285804748535
0.0108,2,0.0674722163328685,8,0.779881477355957
0.011,2,0.0619310295067152,8,0.7903327941894531
0.0112,2,0.0587657087434144,8,0.8252108097076416
0.0114,2,0.0650477052714797,8,0.779726505279541
0.0116,2,0.0601190767176415,8,0.7843143939971924
0.0118,2,0.0624562519726695,8,0.7800800800323486
0.012,2,0.0594535827057789,8,0.8135344982147217
0.0122,2,0.0608781962281982,8,0.8103163242340088
