g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8
0.014,1,4,0.0229876041412353,0.0255037055832359,0.0116476156315576,0.0040599743233489,-0.0049501275769454,-0.0399506588497051,-0.0816213893492555,-0.2247962304972502,-inf
0.015,1,4,0.0380842685699462,0.0257154000056038,0.0083717128386431,-0.0037714791932867,-0.0049695740891949,-0.0275591363610773,-0.0791362085971047,-0.2076633957779225,-inf
0.016,1,4,0.039614200592041,0.0256581159100336,0.0125737986999808,-0.0020328537226154,-0.0043429929486315,-0.0321693434711491,-0.0849625216673775,-0.2465516875942182,-inf
0.017,1,4,0.0379364490509033,0.0269014697150505,0.0134064985397767,-0.0020164556527324,-0.0043279755472054,-0.0316037085344341,-0.0834707442140615,-0.2530532536173768,-inf
0.018,1,4,0.0231685638427734,0.0280283422582793,0.0097932130192788,-0.0026652641491166,-0.0040377264488076,-0.0384109843762579,-0.0722375749040687,-0.2135042440846213,-inf
0.019,1,4,0.0226612091064453,0.0287526255617125,0.0134543962646546,0.0019484169409509,-0.0051733665875786,-0.0311209231905823,-0.0854202979112894,-0.2110319524573539,-2.376128574879373
0.02,1,4,0.0226459503173828,0.0285643562794893,0.0133309957593782,-0.0024012571615282,-0.0059396448708987,-0.0361589920179249,-0.0762920158495234,-0.2228841602515348,-2.392141381731317
0.021,1,4,0.0385019779205322,0.0274961142739728,0.0121476531785814,-0.0009594706030717,-0.0051215992292013,-0.0351188681076794,-0.0822195480378544,-0.208759710736472,-inf
0.022,1,4,0.038478136062622,0.0274697877284992,0.0128389574638346,-0.0019411573871227,-0.0046341183706774,-0.0366404170723569,-0.0812321668469722,-0.2264459329388298,-inf
0.023,1,4,0.0227560997009277,0.0270441084889691,0.0140470666871497,0.0016164245803075,-0.0041326392104365,-0.0273496710681656,-0.0847396250199561,-0.2067569059836428,-inf
0.024,1,4,0.0386784076690673,0.03504981808927,0.0159847951886457,-0.001930326536432,-0.0044702456760841,-0.0375526121512217,-0.0734122677415909,-0.2421224639926007,-inf
0.025,1,4,0.0377271175384521,0.0272105341367038,0.0133075222388608,-0.003618817481142,-0.0044027329262375,-0.0407127363124008,-0.0763547390727538,-0.2925369467190474,-inf
0.026,1,4,0.037797212600708,0.0215813883914172,0.0120658686759628,-0.0040063658350748,-0.0051241849706421,-0.0333872337241832,-0.085935510675919,-0.2336769212607981,-inf
0.027,1,4,0.0375244617462158,0.0244672687841577,0.0083141956530318,-0.0038783029117967,-0.005066432210611,-0.0297627248687744,-0.0892703639351742,-0.2905254227699161,-inf
0.028,1,4,0.0386798381805419,0.0260163383736394,0.0123603700281875,-0.0024755799780002,-0.0044561877658904,-0.035491938756117,-0.0838571638704456,-0.2293220063701389,-inf
0.029,1,4,0.0376486778259277,0.0240934562497139,0.0118156376798701,-0.0032302744000283,-0.0064944165827991,-0.0360832195884608,-0.0821565774558513,-0.2832152304607805,-inf
0.03,1,4,0.0228636264801025,0.0284630910202941,0.0051479287717141,-0.002784329822986,-0.0044045554236476,-0.035691877655288,-0.0865860349835263,-0.2390255002593729,-inf
0.031,1,4,0.0233035087585449,0.027983091928637,0.0084888623511557,-0.0052729460122927,-0.0053923111938328,-0.0313858974445322,-0.0897299472293726,-0.2214429085174061,-inf
0.032,1,4,0.0386967658996582,0.0276563191263979,0.0106715090250481,-0.0034768914905514,-0.0044846164630458,-0.0367509252721509,-0.0789638684439215,-inf,-inf
0.033,1,4,0.0374717712402343,0.027252498883663,0.0125131420276974,-0.0030698263274931,-0.0049030727922543,-0.0346468084803974,-0.0910267465923569,-0.2298247383301876,-inf
0.034,1,4,0.0227527618408203,0.0313742452138861,0.0055199045239002,-0.0034755789701883,-0.0042518772596957,-0.030436321879614,-0.0844257653739411,-0.2100034446887763,-inf
0.035,1,4,0.0235450267791748,0.0256427104800614,0.0059160032657839,-0.00440579952382,-0.0061715138123046,-0.0352645760190231,-0.0787104958833447,-0.2859949496978217,-inf
0.036,1,4,0.0383741855621337,0.0267516443862685,0.0111928063109038,-0.0025085603213341,-0.0042013980302075,-0.0327265950361669,-0.0880967322632805,-0.2142562312047184,-inf
0.037,1,4,0.0228703022003173,0.0339584052638896,0.0076844216189203,-0.0031180266300129,-0.0058559698041053,-0.0322617728184387,-0.0942558607799718,-0.2329295596818174,-inf
0.038,1,4,0.0231146812438964,0.0267021033421269,0.0076644126545187,-0.0057217038596027,-0.0060247115761701,-0.0318567032538159,-0.0935270478311036,-0.2091436411178003,-inf
0.039,1,4,0.0406444072723388,0.0303265165948463,0.0030693786267396,-0.0044202594989018,-0.0059463728146266,-0.0340488301899989,-0.1096634853760746,-0.3142761283712588,-inf
0.04,1,4,0.0385167598724365,0.0398850242787116,0.0083608493040829,-0.006103066093947,-0.0061955184443928,-0.0381507521312989,-0.0911305470880501,-0.2377466699145081,-inf
0.041,1,4,0.0379292964935302,0.0259085486589478,0.009399521425494,-0.0053802226513289,-0.00543817959754,-0.0296136499704577,-0.0895463150960209,-0.2379821952408733,-inf
0.042,1,4,0.0228619575500488,0.0370134802213857,0.0083227301950624,-0.0015294483847333,-0.0050051978322507,-0.0374514543049734,-0.1028777253720271,-0.2749731485774422,-inf
