g_value,n,lambda_1,current_zeta_value,runtime
0.0,2,0.0724834368048516,8,0.7867817878723145
0.0002,2,0.0729060147088983,8,0.8177585601806641
0.0004,2,0.0729085055709032,8,0.7965412139892578
0.0006,2,0.0710814223262239,8,0.7970371246337891
0.0008,2,0.0734476816444387,8,0.8090648651123047
0.001,2,0.0744049015892217,8,0.8098690509796143
0.0012,2,0.0722213917624787,8,0.7938549518585205
0.0014,2,0.072802282862081,8,0.8114724159240723
0.0016,2,0.0750838714904841,8,0.8267288208007812
0.0018,2,0.0741090984789883,8,0.8007111549377441
0.002,2,0.0722785019411922,8,0.7937901020050049
0.0022,2,0.0738370943237177,8,0.8165280818939209
0.0024,2,0.0712072931450556,8,0.7719511985778809
0.0026,2,0.0723346625124317,8,0.8010854721069336
0.0028,2,0.0729510362548513,8,0.7765734195709229
0.003,2,0.0729930571375166,8,0.8210535049438477
0.0032,2,0.0745654079321899,8,0.8060641288757324
0.0034,2,0.0725706346943734,8,0.7817707061767578
0.0036,2,0.0707941187996169,8,0.8354847431182861
0.0038,2,0.0720555267832171,8,0.7854430675506592
0.004,2,0.0726412881588364,8,0.7875256538391113
0.0042,2,0.0759496620200792,8,0.8084182739257812
0.0044,2,0.0745775951281885,8,0.7835330963134766
0.0046,2,0.0737534999399352,8,0.8115215301513672
0.0048,2,0.0735342464219459,8,0.7905149459838867
0.005,2,0.0750855562019502,8,0.7807204723358154
0.0052,2,0.0715305316708988,8,0.7923073768615723
0.0054,2,0.0737871546931938,8,0.8041133880615234
0.0056,2,0.0750154979927285,8,0.7875409126281738
0.0058,2,0.0753580531574241,8,0.8162839412689209
0.006,2,0.0739908662401608,8,0.8322305679321289
0.0062,2,0.072691643946651,8,0.8368096351623535
0.0064,2,0.0721153145142442,8,0.7881736755371094
0.0066,2,0.0740907077411587,8,0.8021039962768555
0.0068,2,0.07188063017308,8,0.7881438732147217
0.007,2,0.0706779150367537,8,0.8920862674713135
0.0072,2,0.0716205755890902,8,0.8156609535217285
0.0074,2,0.06888519722972,8,0.8088405132293701
0.0076,2,0.0761473839391835,8,0.8137357234954834
0.0078,2,0.0725325385246031,8,0.8012130260467529
0.008,2,0.0728814308196243,8,0.7751915454864502
0.0082,2,0.0735888257111334,8,0.7923076152801514
0.0084,2,0.0734165809420696,8,0.782703161239624
0.0086,2,0.0761821163231669,8,0.8136391639709473
0.0088,2,0.0756236850791318,8,0.8266959190368652
0.009,2,0.0722898099418696,8,0.7842419147491455
0.0092,2,0.0730685523641163,8,0.7875649929046631
0.0094,2,0.0720999930338459,8,0.8102693557739258
0.0096,2,0.0722523880126311,8,0.8080675601959229
