g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.01,2,4,0.2130272388458252,0.0626691108172962,0.0085260314205907,-0.0027419660028694,-0.004774838922469,-0.0050881827816671,-0.005307575645538,-0.0066626881538187,-0.0078000358739233,-0.0078428046039297,-0.0084067161228717,-0.0088417446831031,-0.0122862745992695,-0.0200561127827897,-0.0267363391801514,-0.0457212422779034,-0.0491712349680372,-0.0574337341017596,-0.0690039734390261,-0.0890917324584698,-0.1023723858205003,-0.1320161821309989,-0.1589962976846039,-0.1739171545662549,-0.2085733257325308,-0.2512733012176456,-0.2750677190196419,-0.2894258539737212,-0.3184163465476575,-0.3427989264076994,-0.6745886026031463,-2.181082069255642,-inf
0.011,2,4,0.2075719833374023,0.0592892233988818,0.01698797298761,-0.0012061602787403,-0.0022178059404077,-0.0046760987919468,-0.0052475262933303,-0.006810290992303,-0.0081615798173242,-0.0082513170997893,-0.008790850829849,-0.008824872670135,-0.0115241769846845,-0.0153577899979533,-0.0242776229284383,-0.042975692095229,-0.0516816500968421,-0.0559822008855233,-0.0718131362470855,-0.0866897211506727,-0.0969999211495281,-0.1261201152702519,-0.1489489527581462,-0.1680205248571447,-0.1984947594096358,-0.250984300077485,-0.2747371921768933,-0.2916704243992084,-0.3201889263412177,-0.3408692604774194,-0.6319993018956477,-2.223728533778637,-inf
0.012,2,4,0.2086038589477539,0.0633367307510427,0.0196873302754303,-0.00344976489277,-0.0045739249667422,-0.0045749119300965,-0.0052207051482886,-0.0069136851190347,-0.0081142208459354,-0.0082143316548006,-0.0087445234794404,-0.0089771482467276,-0.0120434364038156,-0.0209678383216294,-0.0261909688922269,-0.0448720744014844,-0.0524428246403761,-0.0528729021120026,-0.0695640345985096,-0.0859292088348851,-0.09947272841456,-0.1250441113318145,-0.1457240134455426,-0.1677590231644326,-0.1904556093099661,-0.2505290108764388,-0.2726843818712164,-0.2917806067992919,-0.3210600791950306,-0.343983952071205,-0.60003548579287,-inf,-inf
0.013,2,4,0.2058007717132568,0.0616655521866038,0.0059091646720994,-0.0045103947270252,-0.0045596128645212,-0.0052155160542684,-0.0053179098170664,-0.0076651090616738,-0.0079068345857161,-0.0079690827321843,-0.0081633522997306,-0.008614896766431,-0.0121017441914038,-0.0159850130776788,-0.0223299765268821,-0.0439969023097759,-0.0516781644351631,-0.0551581696836845,-0.0692045178682624,-0.0805523333749107,-0.0979813340147335,-0.1162570200255464,-0.1417566939537581,-0.169602938725274,-0.1840426657896372,-0.2509431898756073,-0.2794774902229666,-0.2947157005737305,-0.3249418499376612,-0.3485809250311757,-0.6799340667717311,-inf,-inf
0.014,2,4,0.1268858909606933,0.0514747938226037,0.0191084832683477,-0.0035147760537102,-0.0039442138090302,-0.0050613910575759,-0.005192992119179,-0.0071857559866649,-0.0076043351170201,-0.0077330263606225,-0.0078986941605385,-0.0083182232984006,-0.0121326854846694,-0.0142117878073375,-0.0232008714816193,-0.0415718329844498,-0.0500066622325168,-0.0578951489595294,-0.0608960005561639,-0.0798706282450683,-0.098282882257237,-0.113728275016993,-0.1308449490036822,-0.1704036896340729,-0.1786437277550498,-0.2505762308656985,-0.2779261772205803,-0.2960218678883611,-0.3190877279571554,-0.3465569558254919,-0.6108570304448032,-2.3065383123984184,-inf
0.015,2,4,0.2075271606445312,0.0632398737961486,0.0111063329933325,-0.0045320026026983,-0.0049965922601876,-0.0052588820837512,-0.0055774879457769,-0.0067247127802007,-0.0077519936618421,-0.0083466949654128,-0.0084854629013387,-0.0089560110096091,-0.0104710437084882,-0.0147799152582792,-0.0209284191010649,-0.0374418690598212,-0.0491468666723445,-0.0549349976021044,-0.0637206594598288,-0.0787966365968961,-0.0935313073148659,-0.1127315918405227,-0.1282435748839438,-0.1576795149179085,-0.1818741812901016,-0.2508619040536135,-0.2762265183153851,-0.2946441510498327,-0.3226780229800713,-0.3501870097428606,-0.593521574045323,-2.2194595506072807,-inf
0.016,2,4,0.2066223621368408,0.0617130688204231,0.0080278819483356,-0.0024425294571973,-0.0049128938364673,-0.0051324626206952,-0.0067101029437054,-0.007630941219836,-0.0079349544593548,-0.0080636973808748,-0.0082135851997854,-0.0085704178216564,-0.0086231403259959,-0.0128563502229696,-0.0201033525366445,-0.0323389907988357,-0.0462120296893997,-0.0552790266865881,-0.0642024538744495,-0.0769207265387307,-0.0947770340890915,-0.1078935445461919,-0.1163725933841845,-0.1605000086187539,-0.1839338506645523,-0.250901403585796,-0.2754278402998156,-0.2939558334413898,-0.3279910434743271,-0.3515796843020781,-0.6110395047721959,-2.085259868370979,-inf
0.017,2,4,0.2098591327667236,0.0581225653512906,0.0167552923636541,-0.0033677403151761,-0.004870675672958,-0.0053032565150104,-0.005350588912038,-0.0069781359360127,-0.0078333913633012,-0.007977996554681,-0.008106298649647,-0.0083009774953662,-0.0112799836779929,-0.0136081947204037,-0.0196453510137356,-0.0361088624352181,-0.0494178317131673,-0.0508692797627657,-0.059908983431108,-0.0785059270597915,-0.0968412609411413,-0.1033635238569157,-0.1171226394041285,-0.1522179630038732,-0.1801654351629886,-0.2522344180062996,-0.278618596013503,-0.297394487318292,-0.3293024286274377,-0.3655611968046766,-0.6626103213720103,-2.1531001159117173,-inf
0.018,2,4,0.1264595985412597,0.0555611781840341,0.0069638213349503,-0.0046017987706217,-0.0047992873747001,-0.0053726525670175,-0.0060892988408482,-0.007707077599594,-0.007865420616879,-0.0079262450550091,-0.0082081604084953,-0.0085684239472239,-0.0119835147091034,-0.0145680733746722,-0.0198543391696174,-0.0286812532994346,-0.0423618976725026,-0.0536260787313038,-0.0657083794014275,-0.0719817778893526,-0.086442981212876,-0.1064896701477929,-0.1109611936896612,-0.1495790304080404,-0.180255310301412,-0.2540459592789574,-0.2811293501955137,-0.2984886534275599,-0.326062220472912,-0.3728544638678689,-0.654110354811514,-2.0284283869427195,-inf
0.019,2,4,0.1266000270843505,0.063634739311541,0.0121934622373557,-0.0047351944026582,-0.0048842850253275,-0.0062395068919211,-0.0071537937520309,-0.0075080750409508,-0.0075585695317174,-0.0076238518855849,-0.008008645060977,-0.0088028591808188,-0.0100588218983389,-0.0134256913306425,-0.0190663474312021,-0.0285739587192801,-0.0382155108193174,-0.0511116957727502,-0.0614479083789997,-0.0732719928168386,-0.0918135914804893,-0.097019216435395,-0.1142178329473848,-0.1460017209558447,-0.1802781564807326,-0.2486600465934572,-0.2838702908320094,-0.2997442827819765,-0.3298237073339328,-0.3445495384017061,-0.633870217080012,-2.1970388191409413,-inf
