g_value,n,lambda_1,current_zeta_value,runtime
0.0246,2,0.0033914080810231,8,0.8079352378845215
0.0248,2,0.0006857534794596,8,0.8103249073028564
0.025,2,0.0012772861322083,8,0.8092598915100098
0.0252,2,-0.0024621751380644,8,0.8077621459960938
0.0254,2,-0.0028732616158571,8,0.8076252937316895
0.0256,2,-0.0027604245647623,8,0.8155503273010254
0.0258,2,-0.0020082546639197,8,0.8006551265716553
0.026,2,0.0059947666893072,8,0.8137516975402832
0.0262,2,-0.0008551126217522,8,0.8113327026367188
0.0264,2,-0.004077397866474,8,0.8141694068908691
0.0266,2,0.0030208482233363,8,0.8127930164337158
0.0268,2,-0.0008679619441104,8,0.8111755847930908
0.027,2,0.0039995082918172,8,0.8089029788970947
0.0272,2,0.0012083064300441,8,0.8172745704650879
0.0274,2,0.0001530455170614,8,0.8053297996520996
0.0276,2,0.0016236608761387,8,0.8334765434265137
0.0278,2,-0.0002427211820978,8,0.8155040740966797
0.028,2,0.0029264696663498,8,0.8116590976715088
0.0282,2,0.0036223024782266,8,0.8300361633300781
0.0284,2,0.0038277040641272,8,0.8062038421630859
0.0286,2,0.0033406382330447,8,0.8115990161895752
0.0288,2,0.0020287369821497,8,0.8088557720184326
0.029,2,0.000822108978145,8,0.8090958595275879
0.0292,2,0.00422741091319,8,0.817976713180542
0.0294,2,0.0035988577079238,8,0.8153965473175049
0.0296,2,0.0036977948311313,8,0.8157186508178711
0.0298,2,0.0058408053897193,8,0.8175489902496338
0.03,2,0.0047979627242719,8,0.8151571750640869
0.0302,2,0.0053066045985184,8,0.8080089092254639
0.0304,2,0.0063177137551125,8,1.1947455406188965
0.0306,2,0.0078116856952325,8,0.8108687400817871
0.0308,2,0.0065311512701241,8,0.8155560493469238
0.031,2,0.0068604267679762,8,0.8089017868041992
0.0312,2,0.0064041779615952,8,0.8111405372619629
0.0314,2,0.0081248475788157,8,0.812302827835083
0.0316,2,0.0079445221014796,8,0.8158836364746094
0.0318,2,0.0109075458581983,8,0.8153083324432373
0.032,2,0.0069288680390707,8,0.8121271133422852
