g_value,n,current_zeta_value,runtime,lambda_1,lambda_2,lambda_3,lambda_4,lambda_5,lambda_6,lambda_7,lambda_8,lambda_9,lambda_10,lambda_11,lambda_12,lambda_13,lambda_14,lambda_15,lambda_16,lambda_17,lambda_18,lambda_19,lambda_20,lambda_21,lambda_22,lambda_23,lambda_24,lambda_25,lambda_26,lambda_27,lambda_28,lambda_29,lambda_30,lambda_31,lambda_32
0.017,2,4,0.2078118324279785,0.0311373814177811,0.027139411203432,0.0233213417376402,0.0171245675548077,0.0169088299622883,0.0105964308019952,-0.0008263565418688,-0.0033188338851955,-0.0087807384311756,-0.0093271448374941,-0.0199351974076976,-0.0224366245121609,-0.0270253250983223,-0.0297713759444567,-0.0332497924852108,-0.0355556312284073,-0.0483609504454256,-0.0504280359139621,-0.0551610220536317,-0.0623010818856141,-0.066647378762368,-0.0840386496090985,-0.097351020777555,-0.1183840487213044,-0.146375591559453,-0.1773574950463863,-0.2278093488768194,-0.3139834658127202,-0.6371846583948698,-1.5626989268497518,-4.739421708830289,-inf
0.018,2,4,0.1261727809906005,0.0312949347383707,0.0243182234722507,0.018392274000768,0.0161312236425219,0.0081608177864287,0.001846996893192,3.2239335996296705e-06,-0.0041969428956053,-0.0064265539893307,-0.0107018356378571,-0.0172434378592661,-0.0176088791879974,-0.0264671194510739,-0.0272987975173008,-0.0334330170842359,-0.0347795256739017,-0.0482282655025056,-0.0505509073373832,-0.0536718588511271,-0.0618859758024966,-0.0681637360397461,-0.0763790138434998,-0.0972088958179978,-0.115445307943877,-0.1340567403231356,-0.1739342562560048,-0.2308040545998771,-0.3178991052847518,-0.5932641648523004,-1.557570575032459,-5.127100693384979,-inf
0.019,2,4,0.1277964115142822,0.0300654239281273,0.0244620140944067,0.016241155709694,0.0130743648376741,0.0087768762549797,0.0048828812041956,-0.003467836764754,-0.0068827927595554,-0.0072728582210655,-0.0098747917519449,-0.0162761003707023,-0.0196621157936027,-0.0284791955530444,-0.0312255348358407,-0.0332790143606573,-0.0348231680871247,-0.0497024510355642,-0.0515655121441916,-0.0535055003652145,-0.0560535413340999,-0.0677119005071293,-0.0789757481489871,-0.0955432961940341,-0.1157321884598859,-0.1379905928930506,-0.1923444052277978,-0.248480609307728,-0.3601577030189379,-0.6175409643104933,-1.7300656726325043,-5.00487857117335,-inf
0.02,2,4,0.1243417263031005,0.0334740700755843,0.0267498364341792,0.0245255573078093,0.0192154571237799,0.011874028991063,0.0096330212786671,9.4054815445757e-05,-0.0026804839157371,-0.0066862732801831,-0.0083268295889537,-0.0135115900248462,-0.0163711371635387,-0.0238943686299724,-0.0259374755392466,-0.029325540911826,-0.03463833064058,-0.0464193284651042,-0.0481721688144596,-0.051351591493883,-0.0629225769524004,-0.0690070363446657,-0.0753088240220102,-0.0912149970876829,-0.1114968262864423,-0.1357649320887202,-0.1638324882461435,-0.2206972606382585,-0.3237048817422325,-0.5747563848516619,-1.5454178195635313,-4.947488463772074,-inf
0.021,2,4,0.2068085670471191,0.0330035529724512,0.0261044431288498,0.0220092900549833,0.0167370921559957,0.0113086317624664,0.0056400395379598,-0.0016149416585804,-0.0048467061979158,-0.0061820136297844,-0.009532894663734,-0.0135830700700908,-0.0174229307226664,-0.0241232559129768,-0.0266505826893367,-0.0293578757041243,-0.033140748272702,-0.046885427471655,-0.0491620598338566,-0.0523692424763537,-0.0613164484905301,-0.0660180814090458,-0.07780254185193,-0.0907277345850706,-0.1093803030886464,-0.1320101288333097,-0.1712889412658549,-0.2273497272973925,-0.3420505635823563,-0.6563668660279062,-1.5712252188371534,-4.982346247931519,-inf
0.022,2,4,0.2166202068328857,0.0390038883266684,0.0287609775768261,0.0196511865770567,0.0162322480068052,0.0113885527639667,0.0053172834412946,-0.0024177171500518,-0.0033971618712347,-0.006462554524094,-0.0079348363522995,-0.0114552775944139,-0.0158069906610165,-0.0225420960485972,-0.0251783469079409,-0.0322564071662311,-0.0329707579581383,-0.045671842319988,-0.0482865066012147,-0.0508831490398495,-0.058649104193413,-0.0678352869387333,-0.0767539876460709,-0.0946009914412877,-0.1059552477686671,-0.1246307997704549,-0.1643589644453021,-0.2159211350148175,-0.3187537562346088,-0.5577810326032009,-1.6186974416357094,-4.680350604479722,-inf
0.023,2,4,0.1255781650543213,0.0361853949240281,0.0281359672309147,0.0197541437185649,0.0174058815113064,0.0110456139758041,0.0062640922623963,-0.0004264423080714,-0.0016355679785436,-0.0055950106208475,-0.0082501011937895,-0.0114184351307152,-0.0138282399097952,-0.0209964188062093,-0.0221534240087345,-0.0300884849852501,-0.0333252689223142,-0.0434281827801846,-0.0483757475917782,-0.0516278538289996,-0.0594625591174425,-0.0671637685928597,-0.0738747978530597,-0.088722171371504,-0.1017622027273667,-0.1269040591163432,-0.172861903884707,-0.2288958757492139,-0.3079245600966275,-0.5725345368987864,-1.5244482720158137,-4.930393693445614,-inf
0.024,2,4,0.2113280296325683,0.0375471858203805,0.0268329368052498,0.022364292206744,0.015268505635464,0.0091102731242359,0.008056891102826,-0.0014217472156818,-0.0023004735641132,-0.0065271036473251,-0.0071343242690416,-0.0132870619333145,-0.0145185308462176,-0.0203793165153588,-0.0226035921927248,-0.0285504640847202,-0.0286119699239395,-0.0431773663984575,-0.0462968471348342,-0.0485254999646826,-0.059329748370219,-0.0679844244720006,-0.0756155105615976,-0.0869014262583722,-0.102502111974635,-0.126609474872883,-0.1676691913880989,-0.2048655787508587,-0.3124305315279603,-0.6105093074504044,-1.6527215002093965,-4.847931842836232,-inf
0.025,2,4,0.206728458404541,0.0386703856823187,0.02911459756431,0.0178870427280065,0.0158667810397672,0.0145439461980947,0.0091493525686993,0.0005098799788121,-0.0008231163691162,-0.0043399777639821,-0.0054422532768581,-0.0107498121951952,-0.0121904580023069,-0.0198534199665943,-0.0227211900943445,-0.028861970529426,-0.0312573806953013,-0.0427500231102406,-0.0456672924963286,-0.0481015037025335,-0.0561476001165509,-0.0651154958875346,-0.0747749857898611,-0.092414160475036,-0.1032592926067541,-0.1316110059056541,-0.1624558516865466,-0.2191871296693015,-0.3147731355329841,-0.6047159605290964,-1.529995728338614,-inf,-inf
0.026,2,4,0.20762300491333,0.0401104292781187,0.0281519753227811,0.0204124872219683,0.0154697598179741,0.0091487812662302,0.0087288492215555,0.0030918276112819,-0.000581361577666,-0.003855533152837,-0.0054087804613369,-0.0115340622823764,-0.0129842547364903,-0.0186339783520881,-0.0201326237509328,-0.028437352696337,-0.028600824961903,-0.042130578491319,-0.0438089538372119,-0.0476205390427209,-0.0527034991216234,-0.060176301511648,-0.0775967354963518,-0.0895253350443042,-0.1048144846278763,-0.1200925601396699,-0.1644849696379012,-0.2087522958818211,-0.305693499408676,-0.6079408081445546,-1.6288628948516095,-4.896176341319775,-inf
